ingredient,Protein,Total lipid (fat),Carbohydrate,Fiber,Calcium,Iron,Sodium,Vitamin A,Vitamin C,Cholesterol,Magnesium,Phosphorus,Potassium,Zinc,Copper,Selenium,Vitamin E,Vitamin D,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin K,Manganese,Pantothenic acid,Biotin
rating,33.0,77.0,7.0,24.0,5.0,33.0,16.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,
almond,41.0,68.0,8.0,34.0,20.0,23.0,10.0,0.0,0.0,0.0,63.0,40.0,16.0,29.0,108.0,1.0,0.0,0.0,8.0,72.0,24.0,10.0,9.0,0.0,,,
anchovy,58.0,12.0,0.0,0.0,18.0,26.0,159.0,1.0,0.0,28.0,16.0,20.0,12.0,22.0,38.0,124.0,0.0,8.0,6.0,28.0,124.0,3.0,15.0,10.0,,,
apple,0.0,1.0,5.0,11.0,0.0,1.0,0.0,7.0,3.0,0.0,,,2.0,,,,,,,,,,,,,,
apple juice,0.0,0.0,5.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,
apricot,0.0,0.0,5.0,,,,0.0,41.0,20.0,,,,2.0,,,,,,,,,,,,,,
artichoke,6.0,0.0,4.0,20.0,2.0,3.0,3.0,0.0,8.0,0.0,10.0,6.0,6.0,4.0,14.0,0.0,0.0,0.0,4.0,7.0,7.0,22.0,6.0,12.0,,,
arugula,6.0,1.0,1.0,5.0,12.0,8.0,1.0,13.0,16.0,0.0,,,8.0,,,,,0.0,,,,14.0,,90.0,0.0,,
asian pear,1.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,,,
asparagus,5.0,0.0,1.0,9.0,2.0,13.0,0.0,,,0.0,,,4.0,,,,,0.0,,,,,,,,,
avocado,4.0,56.0,3.0,0.0,3.0,2.0,38.0,1.0,0.0,13.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,81.0,,,
bacon,67.0,60.0,0.0,,,,78.0,,,33.0,,,,,,,,,,,,,,,,,
banana,25.0,8.0,15.0,22.0,10.0,6.0,26.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,
barley,4.0,4.0,10.0,13.0,1.0,7.0,9.0,3.0,0.0,1.0,5.0,4.0,2.0,7.0,11.0,15.0,0.0,0.0,7.0,5.0,12.0,4.0,2.0,2.0,,,
basil,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
beef,40.0,8.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,
beef rib,43.0,9.0,0.0,0.0,1.0,10.0,2.0,1.0,0.0,19.0,5.0,15.0,7.0,36.0,5.0,5.0,0.0,35.0,2.0,7.0,27.0,,,,0.0,6.0,
beef shank,44.0,5.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,13.0,3.0,16.0,8.0,63.0,8.0,32.0,,,8.0,17.0,36.0,2.0,,,1.0,7.0,
beef tenderloin,41.0,10.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,
beet,2.0,0.0,6.0,3.0,1.0,2.0,6.0,0.0,3.0,0.0,4.0,1.0,2.0,2.0,13.0,2.0,0.0,0.0,1.0,4.0,2.0,7.0,3.0,0.0,,,
bell pepper,1.0,0.0,2.0,3.0,1.0,1.0,0.0,,111.0,,2.0,1.0,3.0,1.0,6.0,0.0,,,3.0,7.0,4.0,6.0,,,4.0,,0.0
berry,2.0,0.0,5.0,15.0,1.0,3.0,0.0,0.0,19.0,0.0,3.0,2.0,3.0,2.0,7.0,1.0,0.0,0.0,2.0,3.0,4.0,5.0,1.0,10.0,,,
blackberry,1.0,0.0,2.0,6.0,0.0,233.0,0.0,12.0,9.0,0.0,,,,,,,,,,,,,,,,,
blue cheese,43.0,23.0,1.0,13.0,41.0,0.0,59.0,119.0,0.0,18.0,,,,,,,,,,,,,,,,,
blueberry,0.0,0.0,24.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
bok choy,2.0,0.0,1.0,4.0,5.0,2.0,1.0,,34.0,,3.0,2.0,5.0,2.0,3.0,,,,,,,17.0,,,9.0,,
broccoli,5.0,0.0,2.0,12.0,5.0,5.0,1.0,,,0.0,,,5.0,,,,,0.0,,,,,,,,,
broccoli rabe,5.0,0.0,2.0,9.0,6.0,7.0,2.0,,,0.0,,,7.0,,,,,0.0,,,,,,,,,
brussel sprout,7.0,0.0,3.0,14.0,3.0,8.0,1.0,4.0,94.0,0.0,5.0,6.0,8.0,4.0,8.0,3.0,0.0,0.0,12.0,7.0,5.0,15.0,3.0,148.0,,,
butter,0.0,101.0,0.0,,,,0.0,318.0,,71.0,,,,,,,,,,,,,,,,,
buttermilk,7.0,1.0,2.0,0.0,9.0,0.0,4.0,4.0,1.0,2.0,3.0,7.0,3.0,4.0,0.0,4.0,0.0,2.0,4.0,15.0,1.0,1.0,3.0,0.0,,,
butternut squash,2.0,0.0,4.0,9.0,4.0,5.0,0.0,1178.0,24.0,0.0,,,,,,,,,,,,,,,,,
cabbage,2.0,1.0,1.0,6.0,3.0,14.0,22.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,16.0,7.0,13.0,3.0,36.0,,,
capers,0.0,0.0,2.0,24.0,0.0,7.0,116.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,
caraway,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
cardamom,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
carrot,2.0,0.0,4.0,10.0,3.0,1.0,3.0,85.0,5.0,0.0,3.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,4.0,8.0,7.0,10.0,1.0,9.0,,,
cashew,24.0,68.0,11.0,11.0,5.0,27.0,13.0,0.0,0.0,0.0,49.0,31.0,10.0,40.0,195.0,17.0,0.0,0.0,13.0,12.0,7.0,14.0,9.0,25.0,,,
cauliflower,5.0,0.0,2.0,9.0,2.0,3.0,1.0,,,0.0,,,4.0,,,,,0.0,,,,,,,,,
caviar,49.0,23.0,1.0,0.0,21.0,66.0,65.0,30.0,0.0,196.0,71.0,28.0,4.0,9.0,12.0,119.0,0.0,14.0,16.0,48.0,1.0,12.0,89.0,0.0,,,
celery,0.0,0.0,1.0,6.0,3.0,2.0,5.0,20.0,9.0,0.0,,,,,,,,,,,,,,,,,
cheese,42.0,32.0,1.0,0.0,0.0,0.0,26.0,20.0,0.0,18.0,,,,,,,,,,,,,,,,,
cherry,8.0,26.0,15.0,7.0,3.0,8.0,9.0,111.0,0.0,0.0,,,,,,,,,,,,,,,,,
chestnut,8.0,1.0,16.0,21.0,0.0,4.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,,,
chickpea,38.0,8.0,22.0,61.0,8.0,34.0,1.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,
chile,16.0,22.0,4.0,2.0,16.0,4.0,19.0,8.0,44.0,10.0,4.0,12.0,3.0,11.0,5.0,14.0,0.0,0.0,10.0,14.0,6.0,9.0,2.0,11.0,,,
chile pepper,21.0,7.0,25.0,102.0,3.0,34.0,4.0,2944.0,35.0,0.0,21.0,13.0,40.0,9.0,25.0,6.0,0.0,0.0,7.0,92.0,54.0,13.0,15.0,90.0,36.0,19.0,
chili,14.0,7.0,3.0,3.0,1.0,3.0,18.0,24.0,0.0,5.0,,,,,,,,,,,,,,,,,
chive,7.0,1.0,2.0,9.0,7.0,9.0,0.0,24.0,65.0,0.0,10.0,5.0,6.0,5.0,17.0,2.0,0.0,0.0,6.0,9.0,4.0,26.0,1.0,177.0,,,
chocolate,6.0,57.0,17.0,10.0,0.0,24.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
cilantro,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
cinnamon,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
citrus,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
clam,24.0,10.0,4.0,4.0,3.0,7.0,20.0,7.0,18.0,8.0,5.0,12.0,4.0,7.0,8.0,38.0,0.0,1.0,13.0,8.0,14.0,6.0,8.0,7.0,,,
clove,12.0,17.0,24.0,121.0,49.0,66.0,12.0,1.0,0.0,0.0,62.0,8.0,22.0,21.0,41.0,13.0,0.0,0.0,13.0,17.0,10.0,6.0,7.0,118.0,2613.0,10.0,
coconut,7.0,46.0,17.0,13.0,0.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
cod,25.0,4.0,2.0,2.0,3.0,5.0,18.0,13.0,4.0,11.0,,,,,,,,,,,,,,,,,
coffee,5.0,31.0,8.0,0.0,4.0,0.0,4.0,99.0,0.0,36.0,,,,,,,,,,,,,,,,,
collard greens,5.0,0.0,2.0,12.0,9.0,0.0,1.0,719.0,39.0,0.0,,,,,,,,,,,,,,,,,
corn,2.0,0.0,5.0,3.0,0.0,0.0,10.0,,,0.0,,,1.0,,,,,0.0,,,,,,,,,
cornmeal,15.0,3.0,28.0,26.0,0.0,14.0,0.0,,,0.0,,,7.0,,,,,0.0,,,,,,,,,
cottage cheese,23.0,6.0,1.0,0.0,9.0,0.0,16.0,19.0,0.0,7.0,,,0.0,,,,,0.0,,,,,,,,,
crab,36.0,1.0,0.0,0.0,7.0,3.0,17.0,0.0,4.0,32.0,9.0,19.0,6.0,35.0,90.0,78.0,0.0,0.0,2.0,7.0,17.0,13.0,15.0,0.0,,,
cranberry,0.0,0.0,5.0,,,1.0,1.0,,28.0,,,,,,,,,,,,,,,,,,
cream cheese,14.0,41.0,3.0,0.0,7.0,0.0,15.0,,,36.0,,,0.0,,,,,0.0,,,,,,,,,
cucumber,1.0,0.0,2.0,2.0,1.0,0.0,10.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,12.0,,,
cumin,36.0,29.0,16.0,38.0,72.0,369.0,7.0,7.0,9.0,0.0,87.0,40.0,38.0,44.0,96.0,9.0,0.0,0.0,52.0,25.0,29.0,2.0,4.0,5.0,145.0,,
currant,7.0,0.0,28.0,16.0,7.0,10.0,2.0,0.0,5.0,0.0,9.0,8.0,17.0,3.0,33.0,1.0,0.0,0.0,13.0,11.0,10.0,2.0,2.0,3.0,,,
curry,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
dairy,7.0,4.0,2.0,0.0,8.0,0.0,2.0,14.0,1.0,5.0,,,,,,,,210.0,,,,,,,,,
date,5.0,0.0,27.0,29.0,3.0,6.0,0.0,0.0,0.0,0.0,10.0,5.0,14.0,3.0,23.0,5.0,0.0,0.0,4.0,5.0,8.0,5.0,1.0,2.0,,,
dill,1.0,1.0,1.0,4.0,4.0,1.0,35.0,0.0,2.0,,2.0,1.0,2.0,1.0,3.0,,1.0,,4.0,4.0,1.0,2.0,,0.0,2.0,4.0,
egg,13.0,37.0,21.0,11.0,10.0,0.0,8.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,
egg nog,7.0,9.0,5.0,0.0,10.0,1.0,4.0,,,17.0,,,3.0,,,,,0.0,,,,,,,,,
eggplant,10.0,19.0,3.0,14.0,3.0,9.0,9.0,1.0,8.0,0.0,20.0,13.0,6.0,12.0,44.0,18.0,0.0,0.0,19.0,9.0,10.0,10.0,2.0,20.0,,,
endive,2.0,0.0,1.0,11.0,4.0,5.0,1.0,12.0,7.0,0.0,4.0,2.0,7.0,7.0,11.0,0.0,3.0,0.0,7.0,6.0,2.0,36.0,3.0,192.0,18.0,18.0,
feta,0.0,37.0,4.0,,,,30.0,,,,,,,,,,,,,,,,,,,,
fig,0.0,0.0,24.0,0.0,1.0,0.0,0.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,
fish,22.0,21.0,8.0,5.0,1.0,5.0,17.0,0.0,0.0,9.0,6.0,15.0,4.0,4.0,7.0,29.0,0.0,0.0,10.0,9.0,10.0,6.0,8.0,4.0,8.0,5.0,
flat bread,44.0,1.0,0.0,0.0,0.0,28.0,7.0,0.0,0.0,24.0,7.0,18.0,5.0,27.0,23.0,57.0,1.0,,20.0,32.0,42.0,3.0,,,1.0,50.0,
fontina,51.0,40.0,1.0,0.0,42.0,1.0,35.0,29.0,0.0,39.0,3.0,28.0,1.0,32.0,3.0,26.0,0.0,3.0,2.0,16.0,1.0,2.0,3.0,2.0,,,
fruit,5.0,1.0,4.0,4.0,6.0,1.0,1.0,2.0,11.0,1.0,3.0,5.0,4.0,3.0,4.0,3.0,0.0,3.0,4.0,8.0,2.0,2.0,2.0,3.0,,,
