URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    333/1    0.023    0.000    2.528    2.528 {built-in method builtins.exec}
        1    0.000    0.000    2.528    2.528 financial_enhanced.py:1(<module>)
       34    0.001    0.000    2.466    0.073 base_events.py:1910(_run_once)
        3    0.000    0.000    2.458    0.819 base_events.py:651(run_until_complete)
       31    0.003    0.000    2.365    0.076 __init__.py:1(<module>)
        3    0.000    0.000    2.024    0.675 base_events.py:627(run_forever)
        1    0.000    0.000    1.452    1.452 runners.py:160(run)
        1    0.000    0.000    1.451    1.451 runners.py:61(__exit__)
        1    0.000    0.000    1.449    1.449 runners.py:64(close)
    296/9    0.005    0.000    1.361    0.151 <frozen importlib._bootstrap>:1349(_find_and_load)
    295/8    0.003    0.000    1.360    0.170 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    266/9    0.003    0.000    1.357    0.151 <frozen importlib._bootstrap>:911(_load_unlocked)
    236/9    0.002    0.000    1.356    0.151 <frozen importlib._bootstrap_external>:989(exec_module)
   609/17    0.008    0.000    1.279    0.075 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    1.009    1.009 runners.py:86(run)
       34    0.001    0.000    0.913    0.027 selectors.py:451(select)
       34    0.825    0.024    0.830    0.024 {method 'poll' of 'select.epoll' objects}
        2    0.000    0.000    0.775    0.387 _api.py:1(<module>)
        1    0.001    0.001    0.583    0.583 _client.py:1(<module>)
    42/26    0.000    0.000    0.564    0.022 {built-in method builtins.__import__}
        1    0.000    0.000    0.555    0.555 _auth.py:1(<module>)
       46    0.000    0.000    0.542    0.012 events.py:86(_run)
       46    0.001    0.000    0.541    0.012 {method 'run' of '_contextvars.Context' objects}
      236    0.006    0.000    0.533    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
       14    0.000    0.000    0.515    0.037 financial_enhanced.py:34(main)
       14    0.000    0.000    0.515    0.037 financial_enhanced.py:11(get_response)
        1    0.000    0.000    0.419    0.419 _client.py:1353(__init__)
