
('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         742932 function calls (722320 primitive calls) in 4.156 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    161/1    0.002    0.000    4.156    4.156 {built-in method builtins.exec}
        1    0.000    0.000    4.156    4.156 financial.py:1(<module>)
        1    0.000    0.000    2.810    2.810 financial.py:12(get_response)
        1    0.000    0.000    2.810    2.810 api.py:62(get)
        1    0.000    0.000    2.810    2.810 api.py:14(request)
        1    0.000    0.000    2.809    2.809 sessions.py:500(request)
      2/1    0.000    0.000    2.806    2.806 sessions.py:673(send)
      325    0.004    0.000    2.366    0.007 socket.py:693(readinto)
      325    0.004    0.000    2.357    0.007 ssl.py:1237(recv_into)
      325    0.002    0.000    2.353    0.007 ssl.py:1095(read)
      325    2.351    0.007    2.351    0.007 {method 'read' of '_ssl._SSLSocket' objects}
      3/2    0.000    0.000    2.335    1.167 sessions.py:159(resolve_redirects)
       21    0.002    0.000    1.836    0.087 __init__.py:1(<module>)
        5    0.000    0.000    1.479    0.296 models.py:890(content)
       19    0.055    0.003    1.479    0.078 {method 'join' of 'bytes' objects}
       45    0.000    0.000    1.424    0.032 models.py:816(generate)
       45    0.000    0.000    1.423    0.032 response.py:1038(stream)
       43    0.004    0.000    1.422    0.033 response.py:1160(read_chunked)
      224    0.039    0.000    1.415    0.006 {method 'read' of '_io.BufferedReader' objects}
       42    0.001    0.000    1.381    0.033 response.py:1138(_handle_chunk)
       64    0.000    0.000    1.380    0.022 client.py:633(_safe_read)
        2    0.000    0.000    1.325    0.662 adapters.py:613(send)
        2    0.000    0.000    1.323    0.661 connectionpool.py:594(urlopen)
        2    0.000    0.000    1.322    0.661 connectionpool.py:379(_make_request)
        2    0.000    0.000    0.999    0.500 connection.py:481(getresponse)
        2    0.000    0.000    0.998    0.499 client.py:1384(getresponse)
